"Country.Name","Country.Code","Indicator.Name","Indicator.Code","X2016"
"American Samoa","ASM","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","per_allsp.adq_pop_tot",NA
"American Samoa","ASM","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot",NA
"American Samoa","ASM","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","per_lm_alllm.adq_pop_tot",NA
"American Samoa","ASM","GINI index (World Bank estimate)","SI.POV.GINI",NA
"Andorra","AND","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS",100
"Andorra","AND","Access to electricity (% of population)","EG.ELC.ACCS.ZS",100
"Andorra","AND","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS",100
"Andorra","AND","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS",100
"Andorra","AND","Adequacy of social insurance programs (% of total welfare of beneficiary households)","per_si_allsi.adq_pop_tot",NA
"Andorra","AND","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","per_allsp.adq_pop_tot",NA
"Andorra","AND","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot",NA
"Andorra","AND","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","per_lm_alllm.adq_pop_tot",NA
"Andorra","AND","GINI index (World Bank estimate)","SI.POV.GINI",NA
"Angola","AGO","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS",48.05
"Angola","AGO","Access to electricity (% of population)","EG.ELC.ACCS.ZS",40.5206069946289
"Angola","AGO","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS",15.9842091217441
"Angola","AGO","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS",70.729736328125
"Angola","AGO","Adequacy of social insurance programs (% of total welfare of beneficiary households)","per_si_allsi.adq_pop_tot",NA
"Angola","AGO","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","per_allsp.adq_pop_tot",NA
"Angola","AGO","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot",NA
"Angola","AGO","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","per_lm_alllm.adq_pop_tot",NA
"Angola","AGO","GINI index (World Bank estimate)","SI.POV.GINI",NA
"Antigua and Barbuda","ATG","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS",98.75
"Antigua and Barbuda","ATG","Access to electricity (% of population)","EG.ELC.ACCS.ZS",97.3546676635742
"Antigua and Barbuda","ATG","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS",96.5468913480825
"Antigua and Barbuda","ATG","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS",100
"Antigua and Barbuda","ATG","Adequacy of social insurance programs (% of total welfare of beneficiary households)","per_si_allsi.adq_pop_tot",NA
"Antigua and Barbuda","ATG","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","per_allsp.adq_pop_tot",NA
"Antigua and Barbuda","ATG","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot",NA
"Antigua and Barbuda","ATG","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","per_lm_alllm.adq_pop_tot",NA
"Antigua and Barbuda","ATG","GINI index (World Bank estimate)","SI.POV.GINI",NA
"Argentina","ARG","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS",98.4
"Argentina","ARG","Access to electricity (% of population)","EG.ELC.ACCS.ZS",100
"Argentina","ARG","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS",100
"Argentina","ARG","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS",100
"Argentina","ARG","Adequacy of social insurance programs (% of total welfare of beneficiary households)","per_si_allsi.adq_pop_tot",NA
"Argentina","ARG","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","per_allsp.adq_pop_tot",NA
"Argentina","ARG","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot",NA
"Argentina","ARG","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","per_lm_alllm.adq_pop_tot",NA
"Argentina","ARG","GINI index (World Bank estimate)","SI.POV.GINI",42.4
"Armenia","ARM","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS",96.9
"Armenia","ARM","Access to electricity (% of population)","EG.ELC.ACCS.ZS",100
"Armenia","ARM","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS",100
"Armenia","ARM","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS",100
"Armenia","ARM","Adequacy of social insurance programs (% of total welfare of beneficiary households)","per_si_allsi.adq_pop_tot",NA
"Armenia","ARM","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","per_allsp.adq_pop_tot",NA
"Armenia","ARM","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot",NA
"Armenia","ARM","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","per_lm_alllm.adq_pop_tot",NA
"Armenia","ARM","GINI index (World Bank estimate)","SI.POV.GINI",32.5
"Aruba","ABW","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS",NA
"Aruba","ABW","Access to electricity (% of population)","EG.ELC.ACCS.ZS",95.5701446533203
"Aruba","ABW","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS",92.4528443723035
"Aruba","ABW","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS",100
"Aruba","ABW","Adequacy of social insurance programs (% of total welfare of beneficiary households)","per_si_allsi.adq_pop_tot",NA
"Aruba","ABW","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","per_allsp.adq_pop_tot",NA
"Aruba","ABW","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot",NA
"Aruba","ABW","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","per_lm_alllm.adq_pop_tot",NA
"Aruba","ABW","GINI index (World Bank estimate)","SI.POV.GINI",NA
"Australia","AUS","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS",100
"Australia","AUS","Access to electricity (% of population)","EG.ELC.ACCS.ZS",100
"Australia","AUS","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS",100
"Australia","AUS","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS",100
"Australia","AUS","Adequacy of social insurance programs (% of total welfare of beneficiary households)","per_si_allsi.adq_pop_tot",NA
"Australia","AUS","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","per_allsp.adq_pop_tot",NA
"Australia","AUS","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot",NA
"Australia","AUS","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","per_lm_alllm.adq_pop_tot",NA
"Australia","AUS","GINI index (World Bank estimate)","SI.POV.GINI",NA
"Austria","AUT","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS",100
"Austria","AUT","Access to electricity (% of population)","EG.ELC.ACCS.ZS",100
"Austria","AUT","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS",100
"Austria","AUT","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS",100
"Austria","AUT","Adequacy of social insurance programs (% of total welfare of beneficiary households)","per_si_allsi.adq_pop_tot",NA
"Austria","AUT","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","per_allsp.adq_pop_tot",NA
"Austria","AUT","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot",NA
"Austria","AUT","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","per_lm_alllm.adq_pop_tot",NA
"Austria","AUT","GINI index (World Bank estimate)","SI.POV.GINI",NA
"Azerbaijan","AZE","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS",95.54
"Azerbaijan","AZE","Access to electricity (% of population)","EG.ELC.ACCS.ZS",100
"Azerbaijan","AZE","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS",100
"Azerbaijan","AZE","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS",100
"Azerbaijan","AZE","Adequacy of social insurance programs (% of total welfare of beneficiary households)","per_si_allsi.adq_pop_tot",NA
"Azerbaijan","AZE","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","per_allsp.adq_pop_tot",NA
"Azerbaijan","AZE","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot",NA
"Azerbaijan","AZE","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","per_lm_alllm.adq_pop_tot",NA
"Azerbaijan","AZE","GINI index (World Bank estimate)","SI.POV.GINI",NA
"Bahamas, The","BHS","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS",100
"Bahamas, The","BHS","Access to electricity (% of population)","EG.ELC.ACCS.ZS",100
"Bahamas, The","BHS","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS",100
"Bahamas, The","BHS","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS",100
"Bahamas, The","BHS","Adequacy of social insurance programs (% of total welfare of beneficiary households)","per_si_allsi.adq_pop_tot",NA
"Bahamas, The","BHS","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","per_allsp.adq_pop_tot",NA
"Bahamas, The","BHS","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot",NA
"Bahamas, The","BHS","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","per_lm_alllm.adq_pop_tot",NA
"Bahamas, The","BHS","GINI index (World Bank estimate)","SI.POV.GINI",NA
"Bahrain","BHR","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS",100
"Bahrain","BHR","Access to electricity (% of population)","EG.ELC.ACCS.ZS",100
"Bahrain","BHR","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS",100
"Bahrain","BHR","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS",100
"Bahrain","BHR","Adequacy of social insurance programs (% of total welfare of beneficiary households)","per_si_allsi.adq_pop_tot",NA
"Bahrain","BHR","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","per_allsp.adq_pop_tot",NA
"Bahrain","BHR","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot",NA
"Bahrain","BHR","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","per_lm_alllm.adq_pop_tot",NA
"Bahrain","BHR","GINI index (World Bank estimate)","SI.POV.GINI",NA
"Bangladesh","BGD","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS",17.72
"Bangladesh","BGD","Access to electricity (% of population)","EG.ELC.ACCS.ZS",75.92
"Bangladesh","BGD","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS",68.85
"Bangladesh","BGD","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS",94.01
"Bangladesh","BGD","Adequacy of social insurance programs (% of total welfare of beneficiary households)","per_si_allsi.adq_pop_tot",NA
"Bangladesh","BGD","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","per_allsp.adq_pop_tot",NA
"Bangladesh","BGD","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot",NA
"Bangladesh","BGD","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","per_lm_alllm.adq_pop_tot",NA
"Bangladesh","BGD","GINI index (World Bank estimate)","SI.POV.GINI",32.4
"Barbados","BRB","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS",99.44
"Barbados","BRB","Access to electricity (% of population)","EG.ELC.ACCS.ZS",100
"Barbados","BRB","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS",100
"Barbados","BRB","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS",100
"Barbados","BRB","Adequacy of social insurance programs (% of total welfare of beneficiary households)","per_si_allsi.adq_pop_tot",NA
"Barbados","BRB","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","per_allsp.adq_pop_tot",NA
"Barbados","BRB","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot",NA
"Barbados","BRB","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","per_lm_alllm.adq_pop_tot",NA
"Barbados","BRB","GINI index (World Bank estimate)","SI.POV.GINI",NA
"Belarus","BLR","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS",98.18
"Belarus","BLR","Access to electricity (% of population)","EG.ELC.ACCS.ZS",100
"Belarus","BLR","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS",100
"Belarus","BLR","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS",100
"Belarus","BLR","Adequacy of social insurance programs (% of total welfare of beneficiary households)","per_si_allsi.adq_pop_tot",NA
"Belarus","BLR","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","per_allsp.adq_pop_tot",NA
"Belarus","BLR","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot",NA
"Belarus","BLR","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","per_lm_alllm.adq_pop_tot",NA
"Belarus","BLR","GINI index (World Bank estimate)","SI.POV.GINI",27
"Belgium","BEL","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS",100
"Belgium","BEL","Access to electricity (% of population)","EG.ELC.ACCS.ZS",100
"Belgium","BEL","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS",100
"Belgium","BEL","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS",100
"Belgium","BEL","Adequacy of social insurance programs (% of total welfare of beneficiary households)","per_si_allsi.adq_pop_tot",NA
"Belgium","BEL","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","per_allsp.adq_pop_tot",NA
"Belgium","BEL","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot",NA
"Belgium","BEL","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","per_lm_alllm.adq_pop_tot",NA
"Belgium","BEL","GINI index (World Bank estimate)","SI.POV.GINI",NA
"Belize","BLZ","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS",85.43
"Belize","BLZ","Access to electricity (% of population)","EG.ELC.ACCS.ZS",92.2143173217773
"Belize","BLZ","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS",88.4200865737024
"Belize","BLZ","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS",97.0738220214844
"Belize","BLZ","Adequacy of social insurance programs (% of total welfare of beneficiary households)","per_si_allsi.adq_pop_tot",NA
"Belize","BLZ","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","per_allsp.adq_pop_tot",NA
"Belize","BLZ","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot",NA
"Belize","BLZ","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","per_lm_alllm.adq_pop_tot",NA
"Belize","BLZ","GINI index (World Bank estimate)","SI.POV.GINI",NA
"Benin","BEN","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS",6.44
"Benin","BEN","Access to electricity (% of population)","EG.ELC.ACCS.ZS",41.4026145935059
"Benin","BEN","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS",17.9698002077629
"Benin","BEN","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS",70.7523498535156
"Benin","BEN","Adequacy of social insurance programs (% of total welfare of beneficiary households)","per_si_allsi.adq_pop_tot",NA
"Benin","BEN","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","per_allsp.adq_pop_tot",NA
"Benin","BEN","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot",NA
"Benin","BEN","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","per_lm_alllm.adq_pop_tot",NA
"Benin","BEN","GINI index (World Bank estimate)","SI.POV.GINI",NA
"Bermuda","BMU","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS",NA
"Bermuda","BMU","Access to electricity (% of population)","EG.ELC.ACCS.ZS",100
"Bermuda","BMU","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS",NA
"Bermuda","BMU","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS",100
"Bermuda","BMU","Adequacy of social insurance programs (% of total welfare of beneficiary households)","per_si_allsi.adq_pop_tot",NA
"Bermuda","BMU","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","per_allsp.adq_pop_tot",NA
"Bermuda","BMU","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot",NA
"Bermuda","BMU","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","per_lm_alllm.adq_pop_tot",NA
"Bermuda","BMU","GINI index (World Bank estimate)","SI.POV.GINI",NA
"Bhutan","BTN","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS",52.5
"Bhutan","BTN","Access to electricity (% of population)","EG.ELC.ACCS.ZS",100
"Bhutan","BTN","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS",100
"Bhutan","BTN","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS",100
"Bhutan","BTN","Adequacy of social insurance programs (% of total welfare of beneficiary households)","per_si_allsi.adq_pop_tot",NA
"Bhutan","BTN","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","per_allsp.adq_pop_tot",NA
"Bhutan","BTN","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot",NA
"Bhutan","BTN","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","per_lm_alllm.adq_pop_tot",NA
"Bhutan","BTN","GINI index (World Bank estimate)","SI.POV.GINI",NA
"Bolivia","BOL","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS",64
"Bolivia","BOL","Access to electricity (% of population)","EG.ELC.ACCS.ZS",93.0391311645508
"Bolivia","BOL","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS",79.145023819414
"Bolivia","BOL","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS",99.3074188232422
"Bolivia","BOL","Adequacy of social insurance programs (% of total welfare of beneficiary households)","per_si_allsi.adq_pop_tot",NA
"Bolivia","BOL","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","per_allsp.adq_pop_tot",NA
"Bolivia","BOL","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot",NA
"Bolivia","BOL","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","per_lm_alllm.adq_pop_tot",NA
"Bolivia","BOL","GINI index (World Bank estimate)","SI.POV.GINI",44.6
"Bosnia and Herzegovina","BIH","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS",63.38
"Bosnia and Herzegovina","BIH","Access to electricity (% of population)","EG.ELC.ACCS.ZS",100
"Bosnia and Herzegovina","BIH","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS",100
"Bosnia and Herzegovina","BIH","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS",100
"Bosnia and Herzegovina","BIH","Adequacy of social insurance programs (% of total welfare of beneficiary households)","per_si_allsi.adq_pop_tot",NA
"Bosnia and Herzegovina","BIH","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","per_allsp.adq_pop_tot",NA
"Bosnia and Herzegovina","BIH","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot",NA
"Bosnia and Herzegovina","BIH","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","per_lm_alllm.adq_pop_tot",NA
"Bosnia and Herzegovina","BIH","GINI index (World Bank estimate)","SI.POV.GINI",NA
"Botswana","BWA","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS",64.08
"Botswana","BWA","Access to electricity (% of population)","EG.ELC.ACCS.ZS",60.6883964538574
"Botswana","BWA","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS",37.4945434437789
"Botswana","BWA","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS",77.6848983764648
"Botswana","BWA","Adequacy of social insurance programs (% of total welfare of beneficiary households)","per_si_allsi.adq_pop_tot",NA
"Botswana","BWA","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","per_allsp.adq_pop_tot",NA
"Botswana","BWA","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot",NA
"Botswana","BWA","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","per_lm_alllm.adq_pop_tot",NA
"Botswana","BWA","GINI index (World Bank estimate)","SI.POV.GINI",NA
"Brazil","BRA","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS",95.59
"Brazil","BRA","Access to electricity (% of population)","EG.ELC.ACCS.ZS",100
"Brazil","BRA","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS",100
"Brazil","BRA","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS",100
"Brazil","BRA","Adequacy of social insurance programs (% of total welfare of beneficiary households)","per_si_allsi.adq_pop_tot",NA
"Brazil","BRA","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","per_allsp.adq_pop_tot",NA
"Brazil","BRA","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot",NA
"Brazil","BRA","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","per_lm_alllm.adq_pop_tot",NA
"Brazil","BRA","GINI index (World Bank estimate)","SI.POV.GINI",NA
"British Virgin Islands","VGB","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS",NA
"British Virgin Islands","VGB","Access to electricity (% of population)","EG.ELC.ACCS.ZS",NA
"British Virgin Islands","VGB","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS",NA
"British Virgin Islands","VGB","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS",NA
"British Virgin Islands","VGB","Adequacy of social insurance programs (% of total welfare of beneficiary households)","per_si_allsi.adq_pop_tot",NA
"British Virgin Islands","VGB","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","per_allsp.adq_pop_tot",NA
"British Virgin Islands","VGB","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot",NA
"British Virgin Islands","VGB","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","per_lm_alllm.adq_pop_tot",NA
"British Virgin Islands","VGB","GINI index (World Bank estimate)","SI.POV.GINI",NA
"Brunei Darussalam","BRN","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS",100
"Brunei Darussalam","BRN","Access to electricity (% of population)","EG.ELC.ACCS.ZS",100
"Brunei Darussalam","BRN","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS",100
"Brunei Darussalam","BRN","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS",100
"Brunei Darussalam","BRN","Adequacy of social insurance programs (% of total welfare of beneficiary households)","per_si_allsi.adq_pop_tot",NA
"Brunei Darussalam","BRN","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","per_allsp.adq_pop_tot",NA
"Brunei Darussalam","BRN","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot",NA
"Brunei Darussalam","BRN","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","per_lm_alllm.adq_pop_tot",NA
"Brunei Darussalam","BRN","GINI index (World Bank estimate)","SI.POV.GINI",NA
"Bulgaria","BGR","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS",88.65
"Bulgaria","BGR","Access to electricity (% of population)","EG.ELC.ACCS.ZS",100
"Bulgaria","BGR","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS",100
"Bulgaria","BGR","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS",100
"Bulgaria","BGR","Adequacy of social insurance programs (% of total welfare of beneficiary households)","per_si_allsi.adq_pop_tot",NA
"Bulgaria","BGR","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","per_allsp.adq_pop_tot",NA
"Bulgaria","BGR","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot",NA
"Bulgaria","BGR","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","per_lm_alllm.adq_pop_tot",NA
"Bulgaria","BGR","GINI index (World Bank estimate)","SI.POV.GINI",NA
"Burkina Faso","BFA","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS",8.93000000000001
"Burkina Faso","BFA","Access to electricity (% of population)","EG.ELC.ACCS.ZS",19.1647129058838
"Burkina Faso","BFA","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS",0.765470963075056
"Burkina Faso","BFA","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS",60.7212944030762
"Burkina Faso","BFA","Adequacy of social insurance programs (% of total welfare of beneficiary households)","per_si_allsi.adq_pop_tot",NA
"Burkina Faso","BFA","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","per_allsp.adq_pop_tot",NA
"Burkina Faso","BFA","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot",NA
"Burkina Faso","BFA","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","per_lm_alllm.adq_pop_tot",NA
"Burkina Faso","BFA","GINI index (World Bank estimate)","SI.POV.GINI",NA
"Burundi","BDI","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS",0.849999999999995
"Burundi","BDI","Access to electricity (% of population)","EG.ELC.ACCS.ZS",7.58847713470459
"Burundi","BDI","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS",1.65223551976685
"Burundi","BDI","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS",49.683952331543
"Burundi","BDI","Adequacy of social insurance programs (% of total welfare of beneficiary households)","per_si_allsi.adq_pop_tot",NA
"Burundi","BDI","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","per_allsp.adq_pop_tot",NA
"Burundi","BDI","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot",NA
"Burundi","BDI","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","per_lm_alllm.adq_pop_tot",NA
"Burundi","BDI","GINI index (World Bank estimate)","SI.POV.GINI",NA
"Cabo Verde","CPV","Access to clean fuels and technologies for cooking  (% of population)","EG.CFT.ACCS.ZS",71.05
"Cabo Verde","CPV","Access to electricity (% of population)","EG.ELC.ACCS.ZS",92.6115875244141
"Cabo Verde","CPV","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS",91.8302923938069
"Cabo Verde","CPV","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS",93.0107269287109
